"bucket","key","timestamp","date","year","month","day","size","parent1","parent2","parent3","parent4","parent5","parent6","parent7","parent8","parent9","parent10"
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-04-22T18_26_34.375313.json","2020-04-22 18:26:35+00:00","2020-04-22","2020","4","22",1434,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-04-22T18_27_35.475748.json","2020-04-22 18:27:36+00:00","2020-04-22","2020","4","22",1573,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-04-22T18_29_44.277690.json","2020-04-22 18:29:45+00:00","2020-04-22","2020","4","22",1532,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-14T00_10_40.847852.json","2020-05-14 00:10:42+00:00","2020-05-14","2020","5","14",2525,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-23T01_11_41.976542.json","2020-05-23 01:11:43+00:00","2020-05-23","2020","5","23",3256,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-25T04_35_44.542159.json","2020-05-25 04:35:45+00:00","2020-05-25","2020","5","25",3379,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-25T04_56_43.328070.json","2020-05-25 04:56:44+00:00","2020-05-25","2020","5","25",3420,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-26T14_46_44.122505.json","2020-05-26 14:46:45+00:00","2020-05-26","2020","5","26",3338,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-26T15_40_44.411796.json","2020-05-26 15:40:45+00:00","2020-05-26","2020","5","26",3420,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T01_37_43.791437.json","2020-05-27 01:37:44+00:00","2020-05-27","2020","5","27",3275,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T01_47_40.713538.json","2020-05-27 01:47:41+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T02_05_43.559714.json","2020-05-27 02:05:44+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T03_10_43.955734.json","2020-05-27 03:10:45+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T03_18_40.738619.json","2020-05-27 03:18:41+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T03_28_40.501570.json","2020-05-27 03:28:41+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T04_01_44.278142.json","2020-05-27 04:01:45+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T04_41_43.579153.json","2020-05-27 04:41:44+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T04_46_40.662235.json","2020-05-27 04:46:41+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T06_31_41.405619.json","2020-05-27 06:31:42+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T08_11_44.121516.json","2020-05-27 08:11:45+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T09_03_43.915745.json","2020-05-27 09:03:45+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T10_30_43.278749.json","2020-05-27 10:30:44+00:00","2020-05-27","2020","5","27",3357,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
"ops-aws-basic-config-eventsbucket-ysctknydky8c","alerts/ops-aws-BASELINELambdaAlarm-add-cw-log-alarms/2020-05-27T10_50_43.617006.json","2020-05-27 10:50:44+00:00","2020-05-27","2020","5","27",3316,"alerts","ops-aws-BASELINELambdaAlarm-add-cw-log-alarms","","","","","","","",""
